Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,HBIPS-2 Measure Description,HBIPS-2 Overall Rate Per 1000,HBIPS-2 Overall Num,HBIPS-2 Overall Den,HBIPS-2 Overall Footnote,HBIPS-3 Measure Description,HBIPS-3 Overall Rate Per 1000,HBIPS-3 Overall Num,HBIPS-3 Overall Den,HBIPS-3 Overall Footnote,HBIPS-5 Measure Description,HBIPS-5 %,HBIPS-5 Denominator,HBIPS-5 Footnote,SMD Measure Description,SMD %,SMD Denominator,SMD Footnote, SUB-2/-2a Measure Description,SUB-2 %,SUB-2 Denominator,SUB-2 Footnote ,SUB-2a %,SUB-2a Denominator,SUB-2a Footnote , SUB-3/-3a Measure Description,SUB-3 %,SUB-3 Denominator,SUB-3 Footnote ,SUB-3a %,SUB-3a Denominator,SUB-3a Footnote ,TOB-2/-2a Measure_Desc,TOB-2 %,TOB-2 Denominator,TOB-2 Footnote,TOB-2a %,TOB-2a Denominator,TOB-2a Footnote,TOB-3/-3a Measure Description,TOB-3 %,TOB-3 Denominator,TOB-3 Footnote,TOB-3a %,TOB-3a Denominator,TOB-3a Footnote,TR-1 Measure Description,TR-1 %,TR-1 Denominator,TR-1 Footnote,TR-2 Measure Description,TR-2 %,TR-2 Denominator,TR-2 Footnote,Start Date,End Date,FUH Measure Description,FUH-30 %,FUH-30 Denominator,FUH-30 Footnote,FUH-7 %,FUH-7 Denominator,FUH-7 Footnote,FUH Measure Start Date,FUH Measure End Date,READM-30-IPF Measure Desc,READM-30-IPF Category,READM-30-IPF Denominator,READM-30-IPF Rate,READM-30-IPF Lower Estimate,READM-30-IPF Higher Estimate,READM-30-IPF Footnote,READM-30-IPF Start Date,READM-30-IPF End Date,IMM-2 Measure Description,IMM-2 %,IMM-2 Denominator,IMM-2 Footnote,Flu Season Start Date,Flu Season End Date,Location
104078,SUNCOAST BEHAVIORAL HEALTH CENTER,4480 51ST ST W,BRADENTON,FL,34210,MANATEE,Hours of physical-restraint use,0,16,13174,,Hours of seclusion use,0,34,13174,,Patients discharged on multiple antipsychotic medications with appropriate justification,67,46,,Screening for metabolic disorders (SMD),66,367,,Alcohol use brief intervention provided or offered,83,58,,79,58,,Alcohol and other drug use disorder treatment provided or offered at discharge,43,89,,29,89,,Tobacco use treatment provided or offered,91,102,,82,102,,Tobacco use treatment provided or offered at discharge,58,92,,18,92,,Transition record with specified elements received by discharged patients (TR1),100,743,,Timely transmission of transition record (TR2),99,743,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,44,115,,27,115,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,309,25,21,29,,42552,43281,Influenza immunization (IPFQR-IMM-2),87,319,,43374,43555,"4480 51ST ST W BRADENTON, FL 34210 (27.460155, -82.612355)"
170020,HUTCHINSON REGIONAL MEDICAL CENTER INC,1701 E 23RD AVENUE,HUTCHINSON,KS,67502,RENO,Hours of physical-restraint use,0,3,2389,,Hours of seclusion use,0,1,2389,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),44,155,,Alcohol use brief intervention provided or offered,75,141,,65,141,,Alcohol and other drug use disorder treatment provided or offered at discharge,82,266,,79,266,,Tobacco use treatment provided or offered,87,306,,61,306,,Tobacco use treatment provided or offered at discharge,62,60,,5,60,,Transition record with specified elements received by discharged patients (TR1),45,589,,Timely transmission of transition record (TR2),28,589,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,75,75,,43,75,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,217,20,16,24,,42552,43281,Influenza immunization (IPFQR-IMM-2),89,271,,43374,43555,"1701 E 23RD AVENUE HUTCHINSON, KS 67502 (38.079485, -97.892275)"
260074,MOBERLY REGIONAL MEDICAL CENTER,1515 UNION AVE,MOBERLY,MO,65270,RANDOLPH,Hours of physical-restraint use,0,0,3102,,Hours of seclusion use,0,1,3102,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,133,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),98,204,,Timely transmission of transition record (TR2),95,204,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,36,14,,0,14,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,267,20,16,25,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,98,,43374,43555,"1515 UNION AVE MOBERLY, MO 65270 (39.423879, -92.414216)"
300017,PARKLAND MEDICAL CENTER,1 PARKLAND DRIVE,DERRY,NH,3038,ROCKINGHAM,Hours of physical-restraint use,0,0,5251,,Hours of seclusion use,0,0,5251,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,157,,Alcohol use brief intervention provided or offered,100,167,,100,167,,Alcohol and other drug use disorder treatment provided or offered at discharge,98,213,,98,213,,Tobacco use treatment provided or offered,78,277,,78,277,,Tobacco use treatment provided or offered at discharge,88,252,,88,252,,Transition record with specified elements received by discharged patients (TR1),99,349,,Timely transmission of transition record (TR2),97,349,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,69,103,,45,103,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,247,22,18,27,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,331,,43374,43555,"1 PARKLAND DRIVE DERRY, NH 03038 (42.875825, -71.317578)"
364051,BECKETT SPRINGS,8614 SHEPHERD FARM DRIVE,WEST CHESTER,OH,45069,BUTLER,Hours of physical-restraint use,0,38,30293,,Hours of seclusion use,0,3,30293,,Patients discharged on multiple antipsychotic medications with appropriate justification,81,91,,Screening for metabolic disorders (SMD),89,375,,Alcohol use brief intervention provided or offered,64,264,,64,264,,Alcohol and other drug use disorder treatment provided or offered at discharge,89,377,,88,377,,Tobacco use treatment provided or offered,96,335,,40,335,,Tobacco use treatment provided or offered at discharge,46,322,,0,322,,Transition record with specified elements received by discharged patients (TR1),79,623,,Timely transmission of transition record (TR2),80,623,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,52,237,,35,237,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,922,19,17,22,,42552,43281,Influenza immunization (IPFQR-IMM-2),88,297,,43374,43555,"8614 SHEPHERD FARM DRIVE WEST CHESTER, OH 45069 (39.34363, -84.45687)"
150042,GOOD SAMARITAN HOSPITAL,520 S 7TH ST,VINCENNES,IN,47591,KNOX,Hours of physical-restraint use,0,50,4435,,Hours of seclusion use,0,7,4435,,Patients discharged on multiple antipsychotic medications with appropriate justification,3,29,,Screening for metabolic disorders (SMD),58,331,,Alcohol use brief intervention provided or offered,95,281,,95,281,,Alcohol and other drug use disorder treatment provided or offered at discharge,49,273,,48,273,,Tobacco use treatment provided or offered,85,403,,75,403,,Tobacco use treatment provided or offered at discharge,78,384,,77,384,,Transition record with specified elements received by discharged patients (TR1),19,807,,Timely transmission of transition record (TR2),18,807,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,44,112,,23,112,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,346,24,20,28,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,611,,43374,43555,"520 S 7TH ST VINCENNES, IN 47591 (38.67292, -87.534213)"
154052,PORTER-STARKE SERVICES INC,701 WALL ST,VALPARAISO,IN,46383,PORTER,Hours of physical-restraint use,0,23,2748,,Hours of seclusion use,0,8,2748,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),0,116,,Alcohol use brief intervention provided or offered,100,67,,60,67,,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,89,216,,20,216,,Tobacco use treatment provided or offered at discharge,69,206,,17,206,,Transition record with specified elements received by discharged patients (TR1),40,613,,Timely transmission of transition record (TR2),40,613,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,62,60,,48,60,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,151,18,14,24,,42552,43281,Influenza immunization (IPFQR-IMM-2),88,289,,43374,43555,"701 WALL ST VALPARAISO, IN 46383 (41.48913, -87.051968)"
384008,OREGON STATE HOSPITAL DISTINCT PART,2600 CENTER STREET NE,SALEM,OR,97301,MARION,Hours of physical-restraint use,1,3212,160212,,Hours of seclusion use,2,8795,160212,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),Not Available,Not Available,1,Alcohol use brief intervention provided or offered,0,135,,0,135,,Alcohol and other drug use disorder treatment provided or offered at discharge,0,202,,0,202,,Tobacco use treatment provided or offered,0,92,,0,92,,Tobacco use treatment provided or offered at discharge,0,90,,0,90,,Transition record with specified elements received by discharged patients (TR1),0,1028,,Timely transmission of transition record (TR2),0,1028,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,30,92,,10,92,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Better Than the National Rate,184,13,10,17,,42552,43281,Influenza immunization (IPFQR-IMM-2),0,311,,43374,43555,"2600 CENTER STREET NE SALEM, OR 97301 (44.939942, -123.003653)"
341323,CHARLES A CANNON JR MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646,AVERY,Hours of physical-restraint use,0,0,3325,,Hours of seclusion use,0,0,3325,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,22,,Screening for metabolic disorders (SMD),46,326,,Alcohol use brief intervention provided or offered,100,130,,100,130,,Alcohol and other drug use disorder treatment provided or offered at discharge,70,130,,70,130,,Tobacco use treatment provided or offered,83,284,,17,284,,Tobacco use treatment provided or offered at discharge,68,284,,4,284,,Transition record with specified elements received by discharged patients (TR1),100,571,,Timely transmission of transition record (TR2),83,571,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,38,40,,20,40,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,80,18,14,24,,42552,43281,Influenza immunization (IPFQR-IMM-2),99,299,,43374,43555,"434 HOSPITAL DRIVE LINVILLE, NC 28646 (36.06748, -81.885678)"
334012,GREATER BINGHAMTON HEALTH CENTER,425 ROBINSON ST,BINGHAMTON,NY,13901,BROOME,Hours of physical-restraint use,0,33,30185,,Hours of seclusion use,0,10,30185,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,18,,Screening for metabolic disorders (SMD),99,148,,Alcohol use brief intervention provided or offered,100,14,,100,14,,Alcohol and other drug use disorder treatment provided or offered at discharge,57,14,,50,14,,Tobacco use treatment provided or offered,87,38,,39,38,,Tobacco use treatment provided or offered at discharge,76,37,,32,37,,Transition record with specified elements received by discharged patients (TR1),97,301,,Timely transmission of transition record (TR2),93,301,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,43,14,,43,14,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,42552,43281,Influenza immunization (IPFQR-IMM-2),98,120,,43374,43555,"425 ROBINSON ST BINGHAMTON, NY 13901 (42.107984, -75.866583)"
234041,THE CENTER FOR FORENSIC PSYCHIATRY,8303 PLATT ROAD,SALINE,MI,48176,WASHTENAW,Hours of physical-restraint use,0,133,94233,,Hours of seclusion use,0,20,94233,,Patients discharged on multiple antipsychotic medications with appropriate justification,63,43,,Screening for metabolic disorders (SMD),92,116,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,0,12,,0,12,,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),1,165,,Timely transmission of transition record (TR2),4,165,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,42552,43281,Influenza immunization (IPFQR-IMM-2),38,37,,43374,43555,"8303 PLATT ROAD SALINE, MI 48176 (42.168654, -83.697655)"
220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,Hours of physical-restraint use,0,85,9699,,Hours of seclusion use,0,0,9669,,Patients discharged on multiple antipsychotic medications with appropriate justification,5,22,,Screening for metabolic disorders (SMD),43,361,,Alcohol use brief intervention provided or offered,81,113,,80,113,,Alcohol and other drug use disorder treatment provided or offered at discharge,37,194,,30,194,,Tobacco use treatment provided or offered,42,170,,28,170,,Tobacco use treatment provided or offered at discharge,6,159,,1,159,,Transition record with specified elements received by discharged patients (TR1),26,580,,Timely transmission of transition record (TR2),8,580,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,70,128,,37,128,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,426,22,19,26,,42552,43281,Influenza immunization (IPFQR-IMM-2),99,289,,43374,43555,"2014 WASHINGTON STREET NEWTON, MA 02462 (42.332339, -71.246592)"
374020,"LAUREATE PSYCHIATRIC CLINIC AND HOSPITAL, INC",6655 SOUTH YALE AVENUE,TULSA,OK,74136,TULSA,Hours of physical-restraint use,0,20,29189,,Hours of seclusion use,0,26,29189,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),99,290,,Alcohol use brief intervention provided or offered,96,156,,91,156,,Alcohol and other drug use disorder treatment provided or offered at discharge,87,298,,84,298,,Tobacco use treatment provided or offered,83,309,,66,309,,Tobacco use treatment provided or offered at discharge,71,292,,5,292,,Transition record with specified elements received by discharged patients (TR1),90,741,,Timely transmission of transition record (TR2),78,741,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,45,317,,28,317,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,1288,21,19,23,,42552,43281,Influenza immunization (IPFQR-IMM-2),99,360,,43374,43555,"6655 SOUTH YALE AVENUE TULSA, OK 74136 (36.066695, -95.922073)"
450352,HUNT REGIONAL MEDICAL CENTER,4215 JOE RAMSEY BLVD,GREENVILLE,TX,75401,HUNT,Hours of physical-restraint use,Not Available,Not Available,Not Available,7,Hours of seclusion use,Not Available,Not Available,Not Available,7,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,7,Screening for metabolic disorders (SMD),Not Available,Not Available,7,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Transition record with specified elements received by discharged patients (TR1),Not Available,Not Available,7,Timely transmission of transition record (TR2),Not Available,Not Available,7,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,47,45,,27,45,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,278,17,14,21,,42552,43281,Influenza immunization (IPFQR-IMM-2),Not Available,Not Available,7,43374,43555,
180067,UNIVERSITY OF KENTUCKY HOSPITAL,800 ROSE STREET,LEXINGTON,KY,40536,FAYETTE,Hours of physical-restraint use,0,14,6452,,Hours of seclusion use,0,17,6452,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,7,Screening for metabolic disorders (SMD),24,112,,Alcohol use brief intervention provided or offered,79,58,,50,58,,Alcohol and other drug use disorder treatment provided or offered at discharge,96,160,,94,160,,Tobacco use treatment provided or offered,69,178,,2,178,,Tobacco use treatment provided or offered at discharge,55,155,,0,155,,Transition record with specified elements received by discharged patients (TR1),0,616,,Timely transmission of transition record (TR2),0,616,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50,56,,23,56,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,182,22,18,27,,42552,43281,Influenza immunization (IPFQR-IMM-2),89,300,,43374,43555,"800 ROSE STREET LEXINGTON, KY 40536 (38.032448, -84.507381)"
360143,MARYMOUNT HOSPITAL,12300 MCCRACKEN ROAD,GARFIELD HEIGHTS,OH,44125,CUYAHOGA,Hours of physical-restraint use,0,468,49276,,Hours of seclusion use,0,169,49276,,Patients discharged on multiple antipsychotic medications with appropriate justification,62,52,,Screening for metabolic disorders (SMD),91,389,,Alcohol use brief intervention provided or offered,66,44,,66,44,,Alcohol and other drug use disorder treatment provided or offered at discharge,36,76,,21,76,,Tobacco use treatment provided or offered,56,71,,41,71,,Tobacco use treatment provided or offered at discharge,52,63,,0,63,,Transition record with specified elements received by discharged patients (TR1),26,638,,Timely transmission of transition record (TR2),19,638,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,41,172,,17,172,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,764,23,20,25,,42552,43281,Influenza immunization (IPFQR-IMM-2),98,305,,43374,43555,"12300 MCCRACKEN ROAD GARFIELD HEIGHTS, OH 44125 (41.422416, -81.598271)"
394027,FAIRMOUNT BEHAVIORAL HEALTH SYSTEM,561 FAIRTHORNE AVENUE,PHILADELPHIA,PA,19128,PHILADELPHIA,Hours of physical-restraint use,0,122,58006,,Hours of seclusion use,0,0,58006,,Patients discharged on multiple antipsychotic medications with appropriate justification,77,39,,Screening for metabolic disorders (SMD),96,458,,Alcohol use brief intervention provided or offered,83,134,,75,134,,Alcohol and other drug use disorder treatment provided or offered at discharge,47,330,,46,330,,Tobacco use treatment provided or offered,91,406,,62,406,,Tobacco use treatment provided or offered at discharge,65,315,,2,315,,Transition record with specified elements received by discharged patients (TR1),85,1035,,Timely transmission of transition record (TR2),78,1035,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,37,291,,18,291,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,587,20,18,23,,42552,43281,Influenza immunization (IPFQR-IMM-2),36,491,,43374,43555,"561 FAIRTHORNE AVENUE PHILADELPHIA, PA 19128 (40.043063, -75.222714)"
450058,BAPTIST MEDICAL CENTER,111 DALLAS STREET,SAN ANTONIO,TX,78205,BEXAR,Hours of physical-restraint use,0,0,6390,,Hours of seclusion use,0,5,6390,,Patients discharged on multiple antipsychotic medications with appropriate justification,5,19,,Screening for metabolic disorders (SMD),71,417,,Alcohol use brief intervention provided or offered,0,65,,0,65,,Alcohol and other drug use disorder treatment provided or offered at discharge,8,101,,6,101,,Tobacco use treatment provided or offered,70,99,,55,99,,Tobacco use treatment provided or offered at discharge,11,93,,0,93,,Transition record with specified elements received by discharged patients (TR1),0,661,,Timely transmission of transition record (TR2),0,661,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,39,66,,17,66,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,216,23,19,28,,42552,43281,Influenza immunization (IPFQR-IMM-2),90,306,,43374,43555,"111 DALLAS STREET SAN ANTONIO, TX 78205 (29.432877, -98.492773)"
394052,HAVEN BEHAVIORAL HOSPITAL OF EASTERN PENNSYLVANIA,145 NORTH 6TH STREET,READING,PA,19601,BERKS,Hours of physical-restraint use,0,4,23171,,Hours of seclusion use,0,0,23171,,Patients discharged on multiple antipsychotic medications with appropriate justification,63,41,,Screening for metabolic disorders (SMD),67,383,,Alcohol use brief intervention provided or offered,71,66,,56,66,,Alcohol and other drug use disorder treatment provided or offered at discharge,16,183,,5,183,,Tobacco use treatment provided or offered,85,261,,72,261,,Tobacco use treatment provided or offered at discharge,42,257,,5,257,,Transition record with specified elements received by discharged patients (TR1),70,610,,Timely transmission of transition record (TR2),35,610,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,45,189,,24,189,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,557,22,19,25,,42552,43281,Influenza immunization (IPFQR-IMM-2),88,257,,43374,43555,"145 NORTH 6TH STREET READING, PA 19601 (40.338125, -75.925814)"
230024,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,DETROIT,MI,48235,WAYNE,Hours of physical-restraint use,1,103,5288,,Hours of seclusion use,1,116,5288,,Patients discharged on multiple antipsychotic medications with appropriate justification,19,21,,Screening for metabolic disorders (SMD),65,428,,Alcohol use brief intervention provided or offered,90,50,,84,50,,Alcohol and other drug use disorder treatment provided or offered at discharge,97,194,,97,194,,Tobacco use treatment provided or offered,81,178,,25,178,,Tobacco use treatment provided or offered at discharge,77,171,,71,171,,Transition record with specified elements received by discharged patients (TR1),23,622,,Timely transmission of transition record (TR2),22,622,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,45,112,,30,112,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,274,21,17,25,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,363,,43374,43555,"6071 W OUTER DRIVE DETROIT, MI 48235 (42.420102, -83.181471)"
150018,ELKHART GENERAL HOSPITAL,600 E BLVD,ELKHART,IN,46514,ELKHART,Hours of physical-restraint use,0,14,3048,,Hours of seclusion use,0,22,3048,,Patients discharged on multiple antipsychotic medications with appropriate justification,80,15,,Screening for metabolic disorders (SMD),99,188,,Alcohol use brief intervention provided or offered,88,94,,62,94,,Alcohol and other drug use disorder treatment provided or offered at discharge,89,201,,84,201,,Tobacco use treatment provided or offered,89,182,,32,182,,Tobacco use treatment provided or offered at discharge,58,173,,1,173,,Transition record with specified elements received by discharged patients (TR1),74,529,,Timely transmission of transition record (TR2),43,529,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,51,35,,37,35,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,107,20,15,25,,42552,43281,Influenza immunization (IPFQR-IMM-2),97,244,,43374,43555,"600 E BLVD ELKHART, IN 46514 (41.678761, -85.991833)"
260210,ST ALEXIUS HOSPITAL,3933 S BROADWAY,SAINT LOUIS,MO,63118,ST. LOUIS CITY,Hours of physical-restraint use,0,59,7078,,Hours of seclusion use,0,41,7078,,Patients discharged on multiple antipsychotic medications with appropriate justification,29,181,,Screening for metabolic disorders (SMD),27,401,,Alcohol use brief intervention provided or offered,56,27,,56,27,,Alcohol and other drug use disorder treatment provided or offered at discharge,20,35,,14,35,,Tobacco use treatment provided or offered,21,108,,8,108,,Tobacco use treatment provided or offered at discharge,15,40,,5,40,,Transition record with specified elements received by discharged patients (TR1),0,477,,Timely transmission of transition record (TR2),0,477,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,32,25,,0,25,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,649,23,20,26,,42552,43281,Influenza immunization (IPFQR-IMM-2),99,198,,43374,43555,"3933 S BROADWAY SAINT LOUIS, MO 63118 (38.583359, -90.227557)"
520088,ST AGNES HOSPITAL,430 E DIVISION ST,FOND DU LAC,WI,54935,FOND DU LAC,Hours of physical-restraint use,0,29,3470,,Hours of seclusion use,1,66,3470,,Patients discharged on multiple antipsychotic medications with appropriate justification,7,15,,Screening for metabolic disorders (SMD),33,183,,Alcohol use brief intervention provided or offered,83,239,,71,239,,Alcohol and other drug use disorder treatment provided or offered at discharge,92,284,,87,284,,Tobacco use treatment provided or offered,92,321,,28,321,,Tobacco use treatment provided or offered at discharge,22,305,,20,305,,Transition record with specified elements received by discharged patients (TR1),0,657,,Timely transmission of transition record (TR2),0,657,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,76,66,,38,66,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,210,22,18,27,,42552,43281,Influenza immunization (IPFQR-IMM-2),99,305,,43374,43555,"430 E DIVISION ST FOND DU LAC, WI 54935 (43.778691, -88.431179)"
330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,RICHMOND,Hours of physical-restraint use,0,59,9781,,Hours of seclusion use,0,78,9781,,Patients discharged on multiple antipsychotic medications with appropriate justification,50,28,,Screening for metabolic disorders (SMD),69,366,,Alcohol use brief intervention provided or offered,66,89,,65,89,,Alcohol and other drug use disorder treatment provided or offered at discharge,66,190,,65,190,,Tobacco use treatment provided or offered,82,188,,56,188,,Tobacco use treatment provided or offered at discharge,29,150,,11,150,,Transition record with specified elements received by discharged patients (TR1),16,638,,Timely transmission of transition record (TR2),10,638,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,65,43,,42,43,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,164,21,17,26,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,317,,43374,43555,"475 SEAVIEW AVENUE STATEN ISLAND, NY 10305 (40.584082, -74.087013)"
